0,1,2,3,4,5,6,7,8,9,10,11
-0.025465226,0.21995144,0.7472984,-0.8170036,-0.9840823,0.006463956,0.0016275309,0.05854866,0.8372731,0.28859898,-0.31844676,-0.32711697
-0.047953244,0.10206962,0.7084809,-0.90601635,-1.193098,-0.25811645,0.08921403,0.068715036,0.60994035,0.420082,-0.30830544,-0.5051724
-0.059666637,-0.028950557,0.42725217,-1.0114563,-1.3505435,-0.4805235,0.075040534,0.09657928,0.4838465,0.30049956,-0.17478472,-0.6511784
-0.10493738,-0.059682608,0.30500877,-1.086241,-1.3897209,-0.48105925,0.060989555,0.033699498,0.37486696,0.25321874,-0.10476145,-0.72177094
-0.093724415,-0.00530988,0.109206796,-1.1457733,-1.3358014,-0.4977302,0.02421533,0.01987788,0.31336784,0.2236072,-0.054255366,-0.8130201
-0.08768425,0.019374788,-0.0354044,-1.1842728,-1.2917547,-0.50432813,-0.004543457,0.03884372,0.23975904,0.1959755,-0.019659042,-0.81057495
-0.06412296,0.10209001,-0.19340563,-1.1477994,-1.1552355,-0.48155186,-0.023897741,0.07808523,0.10654797,0.23554742,0.08837432,-0.8502912
-0.061299812,0.14009087,-0.35675627,-1.0254908,-1.0013251,-0.4452877,0.021881204,0.110838056,-0.085121244,0.32783931,0.062381536,-0.80032325
-0.065401204,0.16935599,-0.4469564,-0.95094717,-0.8456088,-0.3676709,0.0448179,0.052471638,-0.19923729,0.38048813,0.074910164,-0.8495067
-0.07384923,0.16732042,-0.6326508,-0.87314177,-0.6787508,-0.27340633,-0.024386164,0.041861802,-0.26714945,0.25857875,0.23272693,-0.70423335
-0.07526359,0.19209793,-0.80284387,-0.7805393,-0.47513622,-0.21264376,-0.033257935,-0.06994736,-0.42696235,0.21755406,0.36864755,-0.6519936
-0.044345517,0.17367765,-0.846675,-0.590686,-0.26119614,-0.07550192,-0.04717077,-0.21434224,-0.5221438,0.23084208,0.42737406,-0.4869591
-0.058356527,0.091987446,-0.8564748,-0.49858844,-0.13315775,0.018968295,0.003976699,-0.21013832,-0.62498134,0.32631925,0.54179835,-0.2288718
-0.069729075,0.0077711344,-0.82153475,-0.4065761,0.09789951,0.21198152,0.035975855,-0.22362784,-0.6842241,0.4740994,0.70756465,-0.008680649
